Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ
5377,11.85,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5378,11.85,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5379,11.85,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5380,11.86,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5381,11.86,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5382,11.86,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5383,11.86,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5384,11.86,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5385,11.87,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5386,11.87,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5387,11.87,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5388,11.87,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5389,11.87,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5390,11.88,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5391,11.88,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5392,11.88,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5393,11.88,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5394,11.88,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5395,11.89,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5396,11.89,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5397,11.89,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5398,11.89,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5399,11.89,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5400,11.90,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5401,11.90,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5402,11.90,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5403,11.90,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5404,11.90,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5405,11.91,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5406,11.91,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5407,11.91,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5408,11.91,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5409,11.91,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5410,11.92,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5411,11.92,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5412,11.92,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5413,11.92,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5414,11.92,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5415,11.92,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5416,11.93,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5417,11.93,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5418,11.93,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5419,11.93,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5420,11.93,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5421,11.94,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5422,11.94,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5423,11.94,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5424,11.94,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5425,11.94,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5426,11.95,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5427,11.95,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5428,11.95,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5429,11.95,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5430,11.95,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5431,11.96,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5432,11.96,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5433,11.96,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5434,11.96,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5435,11.96,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5436,11.97,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5437,11.97,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5438,11.97,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5439,11.97,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5440,11.97,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5441,11.98,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5442,11.98,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5443,11.98,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5444,11.98,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5445,11.98,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5446,11.99,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5447,11.99,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5448,11.99,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5449,11.99,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5450,11.99,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5451,12.00,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5452,12.00,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5453,12.00,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5454,12.00,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5455,12.00,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5456,12.01,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5457,12.01,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5458,12.01,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5459,12.01,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5460,12.01,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5461,12.02,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5462,12.02,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5463,12.02,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5464,12.02,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5465,12.02,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5466,12.03,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5467,12.03,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5468,12.03,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5469,12.03,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5470,12.03,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5471,12.04,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5472,12.04,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5473,12.04,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5474,12.04,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5475,12.04,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5476,12.05,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5477,12.05,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5478,12.05,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5479,12.05,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5480,12.06,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5481,12.06,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5482,12.06,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5483,12.06,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5484,12.06,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5485,12.07,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5486,12.07,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5487,12.07,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5488,12.07,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5489,12.07,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5490,12.08,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5491,12.08,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5492,12.08,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5493,12.08,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5494,12.08,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5495,12.09,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5496,12.09,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5497,12.09,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5498,12.09,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5499,12.09,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5500,12.10,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5501,12.10,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5502,12.10,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5503,12.10,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5504,12.10,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5505,12.11,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5506,12.11,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5507,12.11,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5508,12.11,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5509,12.11,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5510,12.12,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5511,12.12,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5512,12.12,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5513,12.12,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5514,12.12,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5515,12.13,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5516,12.13,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5517,12.13,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5518,12.13,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5519,12.13,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5520,12.14,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5521,12.14,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5522,12.14,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5523,12.14,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5524,12.14,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5525,12.15,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5526,12.15,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5527,12.15,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5528,12.15,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5529,12.15,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5530,12.16,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5531,12.16,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5532,12.16,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5533,12.16,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5534,12.16,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5535,12.17,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5536,12.17,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5537,12.17,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5538,12.17,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5539,12.17,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5540,12.18,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5541,12.18,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5542,12.18,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5543,12.18,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5544,12.18,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5545,12.19,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5546,12.19,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5547,12.19,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5548,12.19,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5549,12.19,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5550,12.20,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5551,12.20,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5552,12.20,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5553,12.20,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5554,12.20,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5555,12.21,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5556,12.21,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5557,12.21,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5558,12.21,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5559,12.21,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5560,12.22,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5561,12.22,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5562,12.22,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5563,12.22,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5564,12.22,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5565,12.23,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5566,12.23,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5567,12.23,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5568,12.23,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5569,12.23,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5570,12.24,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5571,12.24,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5572,12.24,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5573,12.24,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5574,12.24,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5575,12.25,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5576,12.25,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5577,12.25,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5578,12.25,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5579,12.25,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5580,12.26,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5581,12.26,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5582,12.26,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5583,12.26,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5584,12.26,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5585,12.27,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5586,12.27,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
5587,12.27,AllyPrefab (1),Ally,AllyAttackState,Attacking,AgentPrefab,6.47,0.00,6.47,7.88,0.00,7.88
